Column,Name of Field,Description,Comments,,,,,
ID,MALE_GP_EXL_HC_30TO34,Male All Qualified Permanent GPs (excludes Locums) aged 30 to 34 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
IE,MALE_GP_EXL_HC_35TO39,Male All Qualified Permanent GPs (excludes Locums) aged 35 to 39 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
IF,MALE_GP_EXL_HC_40TO44,Male All Qualified Permanent GPs (excludes Locums) aged 40 to 44 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
IG,MALE_GP_EXL_HC_45TO49,Male All Qualified Permanent GPs (excludes Locums) aged 45 to 49 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
IH,MALE_GP_EXL_HC_50TO54,Male All Qualified Permanent GPs (excludes Locums) aged 50 to 54 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
II,MALE_GP_EXL_HC_55TO59,Male All Qualified Permanent GPs (excludes Locums) aged 55 to 59 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
IJ,MALE_GP_EXL_HC_60TO64,Male All Qualified Permanent GPs (excludes Locums) aged 60 to 64 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
IK,MALE_GP_EXL_HC_65TO69,Male All Qualified Permanent GPs (excludes Locums) aged 65 to 69 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
IL,MALE_GP_EXL_HC_70PLUS,Male All Qualified Permanent GPs (excludes Locums) aged 70 and Over Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
IM,MALE_GP_EXL_HC_UNKNOWN_AGE,Male All Qualified Permanent GPs (excludes Locums) with unknown age Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
IN,FEMALE_GP_EXL_HC_UNDER30,Female All Qualified Permanent GPs (excludes Locums) aged under 30 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
IO,FEMALE_GP_EXL_HC_30TO34,Female All Qualified Permanent GPs (excludes Locums) aged 30 to 34 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
IP,FEMALE_GP_EXL_HC_35TO39,Female All Qualified Permanent GPs (excludes Locums) aged 35 to 39 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
IQ,FEMALE_GP_EXL_HC_40TO44,Female All Qualified Permanent GPs (excludes Locums) aged 40 to 44 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
